Distribution,Attack,Strategy,Accuracy,F1,H2L_Rate,H2L_Count,Total_High,Delta_Acc
IID,none,FEDAVG,0.9784,0.9786,0.0041,1,241,+0.0000
IID,none,FEDPROX,0.9784,0.9786,0.0041,1,241,+0.0000
IID,none,KRUM,0.9755,0.9761,0.0041,1,241,+0.0029
IID,none,TRIMMED_MEAN,0.9814,0.9812,0.0041,1,241,-0.0030
IID,flip_20%,FEDAVG,0.9804,0.9804,0.0041,1,241,-0.0020
IID,flip_20%,FEDPROX,0.9775,0.9776,0.0041,1,241,+0.0009
IID,flip_20%,KRUM,0.9735,0.9733,0.0041,1,241,+0.0049
IID,flip_20%,TRIMMED_MEAN,0.9794,0.9795,0.0041,1,241,-0.0010
IID,flip_50%,FEDAVG,0.9794,0.9793,0.0041,1,241,-0.0010
IID,flip_50%,FEDPROX,0.9775,0.9776,0.0041,1,241,+0.0009
IID,flip_50%,KRUM,0.9745,0.9757,0.0041,1,241,+0.0039
IID,flip_50%,TRIMMED_MEAN,0.9794,0.9795,0.0041,1,241,-0.0010
NONIID,none,FEDAVG,0.7784,0.7722,0.0000,0,242,+0.0000
NONIID,none,FEDPROX,0.7784,0.7726,0.0000,0,242,+0.0000
NONIID,none,KRUM,0.7441,0.7484,0.0785,19,242,+0.0343
NONIID,none,TRIMMED_MEAN,0.8029,0.8037,0.0000,0,242,-0.0245
NONIID,flip_20%,FEDAVG,0.7804,0.7740,0.0000,0,242,-0.0020
NONIID,flip_20%,FEDPROX,0.7804,0.7749,0.0000,0,242,-0.0020
NONIID,flip_20%,KRUM,0.7549,0.7575,0.0620,15,242,+0.0235
NONIID,flip_20%,TRIMMED_MEAN,0.8010,0.8017,0.0000,0,242,-0.0226
NONIID,flip_50%,FEDAVG,0.7873,0.7819,0.0000,0,242,-0.0089
NONIID,flip_50%,FEDPROX,0.7814,0.7762,0.0000,0,242,-0.0030
NONIID,flip_50%,KRUM,0.7510,0.7543,0.0702,17,242,+0.0274
NONIID,flip_50%,TRIMMED_MEAN,0.8000,0.7982,0.0000,0,242,-0.0216
