Distribution,Attack,Strategy,Accuracy,F1,H2L_Rate,H2L_Count,Total_High,Delta_Acc
IID,flip_100%,FEDAVG,0.9529,0.9477,0.0415,10,241,-
IID,flip_100%,KRUM,0.9686,0.9687,0.0041,1,241,-
IID,flip_100%,TRIMMED_MEAN,0.9755,0.9756,0.0041,1,241,-
IID,flip_100%,FEDAVG,0.5784,0.4435,1.0000,241,241,-
IID,flip_100%,KRUM,0.9784,0.9791,0.0041,1,241,-
IID,flip_100%,TRIMMED_MEAN,0.9775,0.9775,0.0041,1,241,-
IID,flip_100%,FEDAVG,0.4157,0.2566,1.0000,241,241,-
IID,flip_100%,KRUM,0.9745,0.9752,0.0041,1,241,-
IID,flip_100%,TRIMMED_MEAN,0.9775,0.9775,0.0041,1,241,-
IID,flip_100%,FEDAVG,0.6157,0.4718,0.9087,219,241,-
IID,flip_100%,KRUM,0.9725,0.9731,0.0041,1,241,-
IID,flip_100%,TRIMMED_MEAN,0.9775,0.9775,0.0041,1,241,-
NONIID,flip_100%,FEDAVG,0.7824,0.7793,0.0579,14,242,-
NONIID,flip_100%,KRUM,0.7471,0.7492,0.0702,17,242,-
NONIID,flip_100%,TRIMMED_MEAN,0.7824,0.7842,0.0083,2,242,-
NONIID,flip_100%,FEDAVG,0.4902,0.5355,0.5083,123,242,-
NONIID,flip_100%,KRUM,0.8069,0.8087,0.0000,0,242,-
NONIID,flip_100%,TRIMMED_MEAN,0.7824,0.7836,0.0124,3,242,-
NONIID,flip_100%,FEDAVG,0.4245,0.2545,1.0000,242,242,-
NONIID,flip_100%,KRUM,0.8069,0.8103,0.0000,0,242,-
NONIID,flip_100%,TRIMMED_MEAN,0.7843,0.7854,0.0124,3,242,-
NONIID,flip_100%,FEDAVG,0.3696,0.1734,1.0000,242,242,-
NONIID,flip_100%,KRUM,0.7951,0.7959,0.0000,0,242,-
NONIID,flip_100%,TRIMMED_MEAN,0.7833,0.7846,0.0124,3,242,-
